id,text,selected_text,sentiment
76,রাজ্জাক সত্যি রাজকীয় ভাবেই মাঠে নামল,সত্যি রাজকীয় ভাবেই,positive
1474,"সত্যি অসাধারন,নাটক,,,,,",সত্যি অসাধারন,positive
55,নির্বাচক কমিটিদের শ্রদ্ধা জানাই।,শ্রদ্ধা জানাই,positive
138,শুভকামনা টাইগারদের জন্য।,শুভকামনা,positive
61,রাজ্জাক ভায়ের জন্য রইল শুভ কামনা।,শুভ কামনা,positive
297,শুভ কামনা আফিফ।,শুভ কামনা,positive
93,"যাইহোক, এটি প্রশংসার না শুধুমাত্র খুব ভাল।",শুধুমাত্র খুব ভাল,positive
2,"শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল","শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল",positive
489,"যাইহোক তাদের একটি শালীন ওয়াইন তালিকা আছে, খাদ্য ভাল, দাম সঠিক ।","শালীন খাদ্য ভাল, দাম সঠিক",positive
120,আপনি শুধু রয়্যালটি মত আচরণ করেন।,রয়্যালটি,positive
74,নীলকান্তমণি একমাত্র ভারতীয় রেস্টুরেন্ট যেখানে আমি এনওয়াইসিতে আছি।,যেখানে আমি এনওয়াইসিতে আছি,positive
65,বিশ্বের যে কোন দেশ কে কাবু করতে পারে আব্দুর রাজ্জাক থাকে দলে নেওয়ার জন্য নির্বাচক কে ধন্যবাদ i,"যে কোন দেশ কে কাবু করতে পারে, নির্বাচক কে ধন্যবাদ",positive
21,"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",যুক্তিসঙ্গত দামে গ্রেট খাদ্য,positive
23,"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",যুক্তিসঙ্গত দামে গ্রেট,positive
191,যুক্তিসঙ্গত দামে সন্তুষ্ট মদ।,"যুক্তিসঙ্গত , সন্তুষ্ট",positive
68,আমরা দুর্ভাগ্যবশত ফলাফল এই জায়গা উপর ঘটেছে যা সন্তুষ্ট ছিল।,যা সন্তুষ্ট ছিল।,positive
14,স্পষ্টতই জানেন একটি পাই যা লোকেরা দ্বারা চালিত,যা লোকেরা দ্বারা চালিত,positive
171,ম্যাচ জেতার জন্য যথেষ্ট ভালো স্কোর।,যথেষ্ট ভালো স্কোর,positive
164,"মাশরাফি, সাকিব,মুশফিক,,তোমরা পার কোস ছাড়া,ম্যাচ জিততে",ম্যাচ জিততে,positive
17,ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,"মহান ধারণা, কিন্তু একটু রুক্ষ",positive
13,"একটি মহান সময় ছিল,যখন আমার বান্ধবী এবং আমি অন্য রাতে এই hopping জায়গায় সম্মুখ দিকে ছিলাম।",মহান,positive
78,বুড়ো হাড়ের ভেলকি,ভেলকি,positive
495,"ভীষণ ভাল লাগছে, আব্দুর রাজ্জাক কে আবার দলে দেখতে পেয়ে।",ভীষণ ভাল লাগছে,positive
183,ভালোবাসি দেশ এবং ক্রিকেটকে,ভালোবাসি,positive
108,"যদি আপনি ওয়াইন এবং পনির এবং স্বাদ ফরাসি ফরাসি ভাড়া চান, আপনি শিল্পীকে ভালোবাসবেন!",ভালোবাসবেন,positive
94,রিয়াদ ভালো অধিনায়ক।। বাট পারফমেন্স অধারাবাহিক।।,ভালো অধিনায়ক,positive
184,খাবারটা ভালো,ভালো,positive
260,আমরা টাট্টু গোলাপী  ভালবাসা,ভালবাসা,positive
70,এই পিচে রান করা টাফ বোলিং নিস্বন্দেহে ভাল হচ্ছে,ভাল হচ্ছে,positive
272,আসল কথা হল মাশরাফি একজন ভাল মানুষ।,ভাল মানুষ,positive
114,উচ্চ শেষ পর্যন্ত wines ভাল নির্বাচন সাশ্রয়ী মূল্যের থেকে,ভাল নির্বাচন,positive
10,যেমন ভাল নকশা এবং বায়ুমণ্ডল,ভাল নকশা,positive
99,গভীর ভাজা skewers ভাল এবং এখনও এনওয়াইসি খুঁজে পাওয়া বিরল।,ভাল এবং এখনও এনওয়াইসি খুঁজে পাওয়া বিরল,positive
88,Vibe ভাল এটি আপনি এলাকায় খুঁজে পাবেন সেরা ফরাসি খাবার এটি সপ্তাহান্তে একটি বিট বস্তাবন্দী।,ভাল এটি আপনি এলাকায় খুঁজে পাবেন সেরা ফরাসি খাবার,positive
307,"ভাল খাবার, সেবা ঠিক আছে।","ভাল ,  ঠিক আছে",positive
213,ভাল এবং মদের বোতল সস্তা ।,ভাল,positive
146,বাংলাদেশের ব্যাটিং ভরসার নাম একমাত্র তামিম ইকবাল,ভরসার,positive
1611,ব্যবস্থা অবশ্যক,ব্যবস্থা অবশ্যক,positive
2658,এই রেস্টুরেন্ট বেশ সুন্দর হতে ব্যবহৃত।,বেশ সুন্দর হতে ব্যবহৃত,positive
1715,আপনার ভিডিও কোয়ালিটি আমার কাছে বেশ ভালো লাগলো।,বেশ ভালো লাগলো,positive
7,"যাইহোক, খাদ্য গুলো বেশ ভাল।",বেশ ভাল,positive
73,পিজা বেশ বিশাল এবং সুন্দর ছিল।,বেশ বিশাল এবং সুন্দর ছিল,positive
11,আরো একবার বিশ্বকে দেখিয়ে দিলাম আমরাওহোয়াইট ওয়াশ করতে পারি!,বিশ্বকে দেখিয়ে দিলাম আমরাওহোয়াইট ওয়াশ করতে পারি,positive
257,মুমিনুল কিন্তু বিশ্ব ক্রিকেটের সাথে পাল্লা দিয়ে চলা এমন এক ক্রিকেটার।!,বিশ্ব ক্রিকেটের সাথে পাল্লা দিয়ে চলা ,positive
85,নির্বাচকমণ্ডলী বিশেষ প্রশংসার দাবিদার,বিশেষ প্রশংসার,positive
79,এটি খুব ঘৃণা আমি প্রায় একটি পর্যালোচনা লিখতে দ্বিধাবিভক্ত কারণ বায়ুমণ্ডল মহান ছিল।,বায়ুমণ্ডল মহান ছিল,positive
57,বস ফিরেছে বসের মতো,বস ফিরেছে,positive
87,"অপেক্ষা কর্মীরা বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে!","বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে",positive
273,বন্ধুত্বপূর্ণ এবং  সেবা দ্রুত,"বন্ধুত্বপূর্ণ , দ্রুত",positive
30,দুইটি শব্দ: ফ্রি এবং ওয়াইন।,ফ্রি এবং ওয়াইন,positive
25,শাহারিয়ার নাফিস কে ও ফেরানো হোক,ফেরানো হোক,positive
49,এখানে যে সমস্ত লোক আমি নিয়ে আসি তাদের নিজেদের উপর ফিরে যাও এবং তাদের বন্ধুদের নিয়ে আস!,ফিরে যাও এবং তাদের বন্ধুদের নিয়ে আস,positive
3,"আমাদের  প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয় (সাধারণত ওয়েটার অর্ধেক অর্ধেকে বিভক্ত করেন তাই, আপনি উভয় অর্ধেক মেট নমুনা পেতে পারেন)।",প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয়,positive
145,"আমাদের প্রিয় খাবার হল একটি ভাল বোতল ওয়াইন, একটি পিস্তো পিজা, ঘর সালাদ",প্রিয়,positive
349,ছেলেটা প্রিতভাবান ব্যাটসম্যান!,প্রিতভাবান,positive
33,"এটি মূল দোকান কারণ,প্রথম অ্যালবামটি দেখতে আসার জন্য।",প্রথম অ্যালবামটি,positive
1614,প্রকৃত মুক্তিযোদ্ধা,প্রকৃত মুক্তিযোদ্ধা,positive
137,"পিজাটি সুস্বাদু - তারা বেশিরভাগ পিজারিয়া এর জন্য সাধারণ, হিমায়িত, চোরযুক্ত পনিরের পরিবর্তে তাজা মোজজারিয়া ব্যবহার করে।",পিজাটি সুস্বাদু,positive
212,যদিও পিজাটি ভাল ।,পিজাটি ভাল,positive
130,এখানে পিজা সুস্বাদু,পিজা সুস্বাদু,positive
107,মাহদুল্লাহ পারবেরআশা রাখি তার উপর,পারবে আশা রাখি,positive
230,টেস্টের জন্য মোছাদ্দেক পারফেক্ট,পারফেক্ট,positive
12,"তিনি পাখি বিশেষজ্ঞ ,থাইল্যান্ড গিয়েছিলেন","পাখি বিশেষজ্ঞ ,থাইল্যান্ড গিয়েছিলেন",positive
22,আমার মনে হয় সাকিবের পরে আর কাউকে যদি ইস্পিন বোলিং খেলোয়াড় বাংলাদেশে থাকে থাকে সে হলো বাগেরহাটের রাজ্জাক।,"পরে আর কাউকে যদি, থাকে সে হলো",positive
136,"পরিষেবা উন্নত হতে পারে কিন্তু সামগ্রিকভাবে এই জায়গাটি রেস্টুরেন্ট অভিজ্ঞতাতে সামান্য জিনিসগুলির গুরুত্ব (একের জন্য ভারী, কালো, এন্টিক-প্রতারক চায়ের) বোঝে।",পরিষেবা উন্নত,positive
106,"পরিমার্জিত একটি oasis: খাদ্য, যদিও কিছুটা অসম, প্রায়ই নতুন আমেরিকান সূক্ষ্ম রন্ধনপ্রণালী pinnacles পৌঁছে - শেফ এর আবেগ (এবং রান্নাঘর এর সুনির্দিষ্ট মৃত্যুদন্ড) মাছের থালা এবং স্যুপ সবচেয়ে স্পষ্ট হয়।","পরিমার্জিত, যদিও কিছুটা অসম, সূক্ষ্ম রন্ধনপ্রণালী, সবচেয়ে স্পষ্ট হয়",positive
31,"আপনাকে আনা হবে,পরিমাণ খুব ভাল, আপনি সন্তুষ্ট হবেন।","পরিমাণ খুব ভাল, আপনি সন্তুষ্ট হবেন",positive
105,"অধিনায়ক রিয়াদ আরো পরিপক্ব আর দায়িত্বশীল হবেন,শুভকামনা","পরিপক্ব আর দায়িত্বশীল হবেন,শুভকামনা",positive
35,"তিনটি কোর্স - পছন্দগুলি চমৎকার মিউসেলস, পেফ প্যাস্ট্রি ছাগল পনির এবং একটি সুস্বাদু ড্রেসিং সঙ্গে সালাদ, এবং এই বিশ্বের বাইরে একটি হ্যাঙ্গার স্টেক অই poivre অন্তর্ভুক্ত।",পছন্দগুলি চমৎকার,positive
100,অধিনায়ক হিসেবে তার নৈপুণ্যতা রয়েছে।সুতরাং মাহমুদুল্লাহকে অধিনায়কত্ব দেওয়া যেতে পারে।,নৈপুণ্যতা রয়েছে,positive
82,"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।","নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার",positive
62,ওয়াইন তালিকা নির্বাচন ভাল এবং ওয়াইন দ্বারা দ্য গ্লাস উদারভাবে শীর্ষে উদিত ছিল।,"নির্বাচন ভাল , উদারভাবে শীর্ষে উদিত",positive
58,আমি বিয়ার নির্বাচন পছন্দ করি!,নির্বাচন পছন্দ করি,positive
63,বিশ্বের যে কোন দেশ কে কাবু করতে পারে আব্দুর রাজ্জাক থাকে দলে নেওয়ার জন্য নির্বাচক কে ধন্যবাদ i,নির্বাচক কে ধন্যবাদ,positive
71,ডাফ পুনর্বিবেচনার Bukhara তারা দুটি নতুন জায়গা খোলা অনুমান মন্দ তাদের চেষ্টা আউট।,নতুন জায়গা,positive
6,স্পিনারের সামনে নই রাজ্জাকের সামনে ধরাশায়ী র্রীলংকা,ধরাশায়ী,positive
1622,ধন্যবাদ স্যার।আপনি বাস্তব এবং যুক্তিসংগত কথাগুলো বলেছেন।,ধন্যবাদ স্যার।,positive
1613,ধন্যবাদ স্যার,ধন্যবাদ স্যার,positive
1625,RUBEL KHAN ধন্যবাদ আপনাকে,ধন্যবাদ আপনাকে,positive
142,দেখ এটা,দেখ এটা,positive
298,কি একটি দুর্দান্ত জায়গা,দুর্দান্ত জায়গা,positive
103,সবাইকে দায়িত্ব নিতে হবে । আর ভালো খেলতে হবে । খেলায় হার জিত আছে কিন্তু তার মধ্যে খারাপ খেলা চলবে না,"দায়িত্ব নিতে হবে, ভালো খেলতে হবে, হার জিত আছে , খারাপ খেলা চলবে না",positive
51,"রাজ্জাক বুড়া হয়েগেছে খেলা পারেনা,তাহলে আজ কিভাবে কি করলো।",তাহলে আজ কিভাবে কি করলো,positive
102,তাদের টুনা টিটার অ্যাচিটাইজারের জন্য মরতে হয়।,তাদের টুনা টিটার অ্যাচিটাইজারের জন্য মরতে হয়,positive
141,তবুও আশা রাখি আমরা জিতবই. ইনশা আল্লাহ্।,তবুও আশা রাখি আমরা জিতবই,positive
143,ত্রিদেশীয় সিরিজে টানা তিন ম্যাচে অর্ধশত করলেন বস তামিম খাঁন।,টানা তিন,positive
9,টাইগার ইজ টাইগার,টাইগার ইজ টাইগার,positive
178,"বাংলাদেশ জিতার কথা,এই রান শ্রীলংকা পারার সম্ভাবনা খুবি কম,",জিতার কথা,positive
177,জিতবো ইনশাআল্লাহ,জিতবো ইনশাআল্লাহ,positive
4,",বাংলাদেশ জিতবে ইনশা আল্লাহ",জিতবে ইনশা আল্লাহ,positive
195,জয় শুধু সময়ের অপেক্ষা,"জয় , সময়ের অপেক্ষা",positive
284,পিঁপড়া মত চেষ্টা করুন!,চেষ্টা করুন,positive
1621,চরম যৌক্তিক কথা বললেন স্যার।,চরম যৌক্তিক ,positive
52,"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।","চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত",positive
140,"নিউ ইয়র্ক শহরের সেরা এক জায়গা, এটি একটি চমত্কার শিথিল জায়গা এখনের  খাদ্য ভাল  ।",চমত্কার শিথিল জায়গা এখনের  খাদ্য ভাল,positive
346,"পানীয় চমৎকার ছিল, এবং ডেজার্ট ভাল ছিল।","চমৎকার ছিল, ভাল ছিল।",positive
42,চমৎকার ওয়াইন তালিকা,চমৎকার ওয়াইন,positive
117,ওয়াইন নির্বাচন (গ্লাস এবং বোতল দ্বারা) চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ আমি সবসময় তার শহর হতে যাচ্ছি।,চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ,positive
16,এটা চমত্কার ও খুব সস্তা ছিল,চমত্কার,positive
242,চমৎকার মান,চমৎকার,positive
309,"স্পাইস হল গ্রেট থাই খাবার, সস্তা অ্যাপেটাইজারদের ভালোবাসা।","গ্রেট থাই খাবার , সস্তা অ্যাপেটাইজারদের ভালোবাসা",positive
66,"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট","গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা",positive
190,আমার দেশ আমার গর্ব ....,গর্ব,positive
128,"মশেল সবকিছু খুশি,লিপিং লিজার একটি গ্লাস, প্রসেসর একটি গ্লাস, এবং ।",খুশি,positive
1480,নাটকটা এককথায় খুবই চমৎকার।,খুবই চমৎকার,positive
1475,"খুব-ই ভালো লেগেছে,এরকম আরো দেখতে",খুব-ই ভালো,positive
1477,"খুব সুন্দর নাটক,, ধন্যবাদ পরিচালককে",খুব সুন্দর ধন্যবাদ ,positive
1476,মেয়েটা খুব সুন্দর,খুব সুন্দর,positive
268,খুব লাভজনক এবং উদাসীন  না।,"খুব লাভজনক , উদাসীন  না",positive
1620,খুব ভালো লেগেছে ড. আসিফ নজরুল এর প্রত্যেকটা যুক্তিক সত্য কথা গুলো।,খুব ভালো ,positive
217,খুব ভাল দাম এবং খুব ভাল সেবা।,"খুব ভাল দাম  , খুব ভাল সেবা",positive
274,ডেলিভারি খুব দ্রুত ।,খুব দ্রুত,positive
109,আমি ভারতীয় খাবার পছন্দ করি এবং নিজেকে একজন বিশেষজ্ঞ বলে বিবেচনা করি।,খাবার পছন্দ করি নিজেকে একজন বিশেষজ্ঞ বলে বিবেচনা করি,positive
119,"ভারতীয় আছে,তারা আমাজনের দামে খাঁটি ।",খাঁটি,positive
116,ক্লাসিক চমৎকার রেস্টুরেন্ট upscale ইতালীয় সামগ্রিক সজ্জা,ক্লাসিক চমৎকার,positive
46,একটি ক্রমবর্ধমান ভাল জায়গা লঞ্চ বা ডিনার জন্য খাওয়া ।,ক্রমবর্ধমান ভাল,positive
89,আমি কি আনন্দিত ছিলাম।,কি আনন্দিত ছিলাম,positive
115,কমপক্ষে ৮ জন বেট্সমেন লাগবে।,কমপক্ষে,positive
26,আজকে বুঝল রাজ্জাকে কতটুকু দরকার ছিল,কতটুকু দরকার ছিল,positive
67,কটি মহান চুক্তি হয় এই জায়গার।,কটি মহান চুক্তি,positive
38,স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,"এত শীতল, পরিষেবাটি যে প্রম্পট এবং বিনয়ী।",positive
36,স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী,positive
95,সামগ্রিকভাবে আমি কিন্তু এটি 10 ​​দিতে পারি,এটি 10 ​​দিতে পারি,positive
77,"একে শ্রেষ্ঠ জায়গা ধরা দ্বারা হয়, হার্টল্যান্ড ব্রয়াসসজ্জা NYC নতুন বন্ধুদের তৈরি।",একে শ্রেষ্ঠ জায়গা ধরা দ্বারা হয়,positive
1623,"স্যার,একদম সঠিক কথা বলছেন।",একদম সঠিক ,positive
1627,B Uddin একদম রাইট কথা বলছেন,একদম রাইট ,positive
39,"শেষে আপনি নুডলসের সাথে একটি হালকা স্বাদ পারেন, সঙ্গে আপনি একটি কাপ আউট slurp পারেন।","একটি হালকা স্বাদ পারেন, সঙ্গে আপনি একটি কাপ আউট ",positive
90,ব্রুকলিন একটি সুন্দর আরামদায়ক জায়গা বন্ধ ডান দিকে এটি ভাল পিজা আছে ।,"একটি সুন্দর আরামদায়ক, ভাল পিজা আছে ",positive
60,"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।","একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু",positive
165,টাইগারদের এই জয়টা হাতুরুকে উৎসর্গ করা উচিৎ।,এই জয়টা হাতুরুকে উৎসর্গ করা,positive
44,তারা আরেকটি উপহার দেওয়ার আগেও আমার গ্লাস ওয়াইনটি শেষ করতে দেবে না।,উপহার ,positive
50,"সত্যিই বার সময়ে নিজেদেরকে উপভোগ করার পরে, আমরা একটি টেবিলের উপর বসে ডিনারে ছিলাম।",উপভোগ করা,positive
163,উপভোগ করুন,উপভোগ,positive
24,"উন্মুখ প্রত্যাবর্তন উপর,Ruben এর চেষ্টা।",উন্মুখ প্রত্যাবর্তন ,positive
92,ভিতরে গিয়ে আমি উত্তেজিত হয়েছি।,উত্তেজিত,positive
174,জাতির ইজ্জত এখন বোলারদের হাতে!,ইজ্জত ,positive
1616,"আসিফ নজরুল স্যার , মনের কথাটি বলেছেন।ধন্যবাদ স্যার।","আসিফ নজরুল স্যার , মনের কথাটি বলেছেন।ধন্যবাদ স্যার।",positive
34,এখানে ভাজা চাল আশ্চর্যজনক।,আশ্চর্যজনক,positive
41,আমি শুধু আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন।,আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন,positive
69,কোটি প্রাণের আশা তোমরা পূরণ করে দাও। লাল - সবুজের বিজয় নিশান হাতে তুলে নাও ।,"আশা তোমরা পূরণ করে দাও, বিজয় নিশান",positive
112,"তখনই শিশুর পিজা আশা করা হয়,যখন ভিটিটি  বেড়ে ওঠে ।",আশা করা,positive
124,Tuk Tuk যারা আরামদায়ক আশপাশ জয়েন্টগুলোতে এক যেখানে আপনি জানেন যে আপনি একটি ন্যায্য মূল্যে একটি ভাল খাবার সবসময় থাকবে।,"আরামদায়ক, ন্যায্য মূল্যে, ভাল খাবার",positive
20,"আর অনেক আগেই রাজ্জাক কে দলে নেওয়া প্রয়োজন ছিলো, তাহলে আর ভালো করতো বাংলাদেশ।",আর ভালো করতো,positive
1618,"আমার বিশ্বাস, মুক্তি যোদ্ধা কোটা বাতিল হলে মুক্তি যুদ্ধের সনদ নেবার জন্য কেউ দুর্নীতি করবে না","আমার বিশ্বাস, মুক্তি যোদ্ধা কোটা বাতিল হলে মুক্তি যুদ্ধের সনদ নেবার জন্য কেউ দুর্নীতি করবে না",positive
32,রাজ্জাক কে আবার দলে দরকার ।,আবার দলে দরকার,positive
96,"আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন,positive
75,আমার আন্তরিকভাবে সুপারিশ।,আন্তরিকভাবে,positive
37,"রাজ্জাক ভাইয়ের সাথে সাথে সিলেকশন কমিটিকেও আন্তরিক ধন্যবাদ, ওনাকে সুযোগ দেওয়ার জন্য।","আন্তরিক ধন্যবাদ, ওনাকে সুযোগ দেওয়ার জন্য",positive
498,একটি নিশ্চিত আনন্দের!,আনন্দের,positive
47,"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।","আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও",positive
64,"আপনি আগের চেয়ে বেশি সন্তুষ্ট থাকবেন,আপনি যদি একজন মৃগীরোগী ও ক্ষুধার্ত হন।",আগের চেয়ে বেশি সন্তুষ্ট থাকবেন,positive
56,Lasagnette অ্যাচিচ্চারের চেষ্টা করুন।,অ্যাচিচ্চারের চেষ্টা করুন।,positive
1808,রাজ্জাক আমাদের ক্রিকেটের এক অহংকার।,অহংকার।,positive
1478,অসাধারণ সুন্দর হয়েছে,অসাধারণ সুন্দর,positive
5,"Bagels একটি অসাধারণ জমিন সঙ্গে একটি অসামান্য স্বাদ আছে, উভয় chewy এখনও gummy না।",অসাধারণ জমিন সঙ্গে একটি অসামান্য স্বাদ,positive
501,খাবারটা অসাধারণ ছিলো.,অসাধারণ ছিলো,positive
8,আসলে রাজ্জাক অসাধারণ ক্রিকেটার। শুভ কামনা রইল,অসাধারণ ক্রিকেটার। শুভ কামনা রইল,positive
169,অভিনন্দন টিম টাইগার,অভিনন্দন টিম টাইগার,positive
1716,অভিনন্দন বাংলাদেশ,অভিনন্দন,positive
404,অভিনন্দন লিটন দাশ এবং লিটল মাষ্টার এবং টাইগার বাহিনী,অভিনন্দন,positive
